,Framed group,Domain-specific,Efficiency-Productivity-Squandering,HDBSCAN all values,HDBSCAN objective,K-Medioids g0 allvalues,K-Medioids g2 allvalues,K-Medioids 2-0 objective,TOPSIS,Weighted sum,Must (students)
Change Case,22.429906542056074,22.429906542056074,30.0,22.429906542056074,22.429906542056074,22.429906542056074,22.429906542056074,22.429906542056074,45.0,35.0,4
Check Spell,8.878504672897195,8.878504672897195,0.0,8.878504672897195,8.878504672897195,8.878504672897195,8.878504672897195,8.878504672897195,25.0,0.0,4
Help + Search,96.72897196261682,96.72897196261682,100.0,96.72897196261682,96.72897196261682,96.72897196261682,96.72897196261682,96.72897196261682,100.0,100.0,4
Select All,97.66355140186917,97.66355140186917,100.0,97.66355140186917,97.66355140186917,97.66355140186917,97.66355140186917,97.66355140186917,100.0,100.0,4
Find,96.26168224299066,96.26168224299066,100.0,96.26168224299066,96.26168224299066,96.26168224299066,96.26168224299066,96.26168224299066,100.0,100.0,4
Set Options,35.981308411214954,35.981308411214954,50.0,35.981308411214954,35.981308411214954,35.981308411214954,35.981308411214954,35.981308411214954,60.0,40.0,3
Bookmark,78.03738317757009,78.03738317757009,100.0,78.03738317757009,78.03738317757009,78.03738317757009,78.03738317757009,78.03738317757009,100.0,100.0,3
Hyperlink,96.72897196261682,96.72897196261682,100.0,96.72897196261682,96.72897196261682,96.72897196261682,96.72897196261682,96.72897196261682,100.0,100.0,3
Replace,88.78504672897196,88.78504672897196,100.0,88.78504672897196,88.78504672897196,88.78504672897196,88.78504672897196,88.78504672897196,100.0,100.0,3
Speech,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Print Preview,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Sort,26.168224299065418,26.168224299065418,30.0,26.168224299065418,26.168224299065418,26.168224299065418,26.168224299065418,26.168224299065418,45.0,15.0,2
Paragraph,47.19626168224299,47.19626168224299,70.0,47.19626168224299,47.19626168224299,47.19626168224299,47.19626168224299,47.19626168224299,90.0,55.00000000000001,2
Go To,68.69158878504673,68.69158878504673,100.0,68.69158878504673,68.69158878504673,68.69158878504673,68.69158878504673,68.69158878504673,100.0,100.0,2
Bullets/Numbering,69.1588785046729,69.1588785046729,100.0,69.1588785046729,69.1588785046729,69.1588785046729,69.1588785046729,69.1588785046729,100.0,100.0,1
Symbol,93.45794392523365,93.45794392523365,100.0,93.45794392523365,93.45794392523365,93.45794392523365,93.45794392523365,93.45794392523365,100.0,100.0,1
Search File,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Print Layout,75.70093457943925,75.70093457943925,100.0,75.70093457943925,75.70093457943925,75.70093457943925,75.70093457943925,75.70093457943925,100.0,100.0,1
Import Data,0.9345794392523363,0.9345794392523363,0.0,0.9345794392523363,0.9345794392523363,0.9345794392523363,0.9345794392523363,0.9345794392523363,0.0,0.0,1
Default,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1
Protect File,43.45794392523364,43.45794392523364,100.0,43.45794392523364,43.45794392523364,43.45794392523364,43.45794392523364,43.45794392523364,95.0,100.0,1
Send To,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Set Properties,0.46728971962616817,0.46728971962616817,0.0,0.46728971962616817,0.46728971962616817,0.46728971962616817,0.46728971962616817,0.46728971962616817,0.0,0.0,1
Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mail Merge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Macro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Date/Time,97.19626168224299,97.19626168224299,100.0,97.19626168224299,97.19626168224299,97.19626168224299,97.19626168224299,97.19626168224299,100.0,100.0,0
Web layout,31.308411214953267,31.308411214953267,60.0,31.308411214953267,31.308411214953267,31.308411214953267,31.308411214953267,31.308411214953267,75.0,50.0,0
Paste Special,20.093457943925234,20.093457943925234,100.0,20.093457943925234,20.093457943925234,20.093457943925234,20.093457943925234,20.093457943925234,60.0,100.0,0
